index,orderdate,total_customers,eu_continent,au_continent,na_continent
98,2023-04-10,7,2,1,4
99,2023-04-11,9,5,0,4
100,2023-04-12,13,8,1,4
101,2023-04-13,16,8,0,8
102,2023-04-14,12,3,0,9
103,2023-04-15,24,9,1,14
104,2023-04-16,2,0,0,2
105,2023-04-17,12,3,0,9
106,2023-04-18,17,4,1,12
107,2023-04-19,24,5,3,16
108,2023-04-20,28,9,3,16
109,2023-04-21,21,7,3,11
110,2023-04-22,43,13,2,28
111,2023-04-23,4,3,0,1
112,2023-04-24,22,5,0,17
113,2023-04-25,29,9,3,17
114,2023-04-26,43,20,2,21
115,2023-04-27,46,12,3,31
116,2023-04-28,37,16,1,20
117,2023-04-29,65,17,4,44
118,2023-04-30,7,4,0,3
119,2023-05-01,34,6,5,23
120,2023-05-02,45,15,2,28
121,2023-05-03,55,20,2,33
122,2023-05-04,63,17,6,40
123,2023-05-05,42,12,3,27
124,2023-05-06,76,19,5,52
125,2023-05-07,7,4,0,3
126,2023-05-08,33,12,2,19
127,2023-05-09,42,9,1,32
128,2023-05-10,53,18,2,33
129,2023-05-11,61,13,6,42
130,2023-05-12,40,15,2,23
131,2023-05-13,73,19,3,51
132,2023-05-14,7,0,0,7
133,2023-05-15,33,8,4,21
134,2023-05-16,40,6,4,30
135,2023-05-17,56,18,5,33
136,2023-05-18,58,22,5,31
137,2023-05-19,43,11,2,30
138,2023-05-20,69,17,3,49
139,2023-05-21,7,2,1,4
140,2023-05-22,32,13,1,18
141,2023-05-23,44,21,7,16
142,2023-05-24,54,19,4,31
143,2023-05-25,62,15,5,42
144,2023-05-26,41,10,7,24
145,2023-05-27,74,27,4,43
146,2023-05-28,7,1,0,6
147,2023-05-29,34,11,3,20
148,2023-05-30,42,12,4,26
149,2023-05-31,52,15,5,32
150,2023-06-01,60,20,5,35
151,2023-06-02,39,13,1,25
152,2023-06-03,73,24,5,44
153,2023-06-04,7,1,0,6
154,2023-06-05,33,13,0,20
155,2023-06-06,39,10,2,27
156,2023-06-07,54,14,5,35
157,2023-06-08,57,19,4,34
158,2023-06-09,42,13,2,27
159,2023-06-10,69,24,3,42
160,2023-06-11,7,3,0,4
161,2023-06-12,32,7,1,24
162,2023-06-13,43,19,3,21
163,2023-06-14,52,15,1,36
164,2023-06-15,59,22,8,29
165,2023-06-16,40,12,1,27
166,2023-06-17,74,19,11,44
167,2023-06-18,7,5,0,2
168,2023-06-19,33,13,3,17
169,2023-06-20,41,12,3,26
170,2023-06-21,56,18,4,34
171,2023-06-22,58,15,2,41
172,2023-06-23,39,13,3,23
173,2023-06-24,71,20,7,44
174,2023-06-25,7,3,1,3
175,2023-06-26,32,11,0,21
176,2023-06-27,39,12,1,26
177,2023-06-28,54,18,6,30
178,2023-06-29,56,20,2,34
179,2023-06-30,41,15,3,23
180,2023-07-01,68,23,3,42
181,2023-07-02,7,5,0,2
182,2023-07-03,31,8,2,21
183,2023-07-04,42,13,3,26
184,2023-07-05,52,14,2,36
185,2023-07-06,59,23,6,30
186,2023-07-07,40,13,1,26
187,2023-07-08,73,25,4,44
188,2023-07-09,7,5,0,2
189,2023-07-10,33,12,1,20
190,2023-07-11,40,8,2,30
191,2023-07-12,55,18,1,36
192,2023-07-13,56,11,3,42
193,2023-07-14,38,15,4,19
194,2023-07-15,70,28,5,37
195,2023-07-16,7,1,0,6
196,2023-07-17,32,9,1,22
197,2023-07-18,38,11,2,25
198,2023-07-19,54,16,4,34
199,2023-07-20,55,17,4,34
200,2023-07-21,38,11,4,23
201,2023-07-22,56,19,1,36
202,2023-07-23,5,1,4,0
203,2023-07-24,21,8,1,12
204,2023-07-25,26,10,5,11
205,2023-07-26,30,10,1,19
206,2023-07-27,32,8,2,22
207,2023-07-28,19,7,2,10
208,2023-07-29,35,12,5,18
209,2023-07-30,3,1,0,2
210,2023-07-31,15,5,3,7
211,2023-08-01,20,9,1,10
212,2023-08-02,29,10,4,15
213,2023-08-03,33,12,1,20
214,2023-08-04,25,16,1,8
215,2023-08-05,48,14,5,29
216,2023-08-06,5,3,0,2
217,2023-08-07,26,8,1,17
218,2023-08-08,36,15,4,17
219,2023-08-09,51,13,2,36
220,2023-08-10,54,16,5,33
221,2023-08-11,41,22,2,17
222,2023-08-12,67,24,7,36
223,2023-08-13,7,1,1,5
224,2023-08-14,30,13,1,16
225,2023-08-15,41,14,4,23
226,2023-08-16,51,17,5,29
227,2023-08-17,57,13,9,35
228,2023-08-18,39,17,4,18
229,2023-08-19,70,12,8,50
230,2023-08-20,7,2,0,5
231,2023-08-21,32,9,2,21
232,2023-08-22,39,9,4,26
233,2023-08-23,54,18,3,33
234,2023-08-24,55,16,2,37
235,2023-08-25,42,13,1,28
236,2023-08-26,67,31,2,34
237,2023-08-27,7,3,0,4
238,2023-08-28,31,9,2,20
239,2023-08-29,38,11,3,24
240,2023-08-30,52,12,4,36
241,2023-08-31,54,26,1,27
242,2023-09-01,40,16,3,21
243,2023-09-02,64,25,2,37
244,2023-09-03,7,3,0,4
245,2023-09-04,30,10,3,17
246,2023-09-05,40,11,0,29
247,2023-09-06,51,14,2,35
248,2023-09-07,57,19,3,35
249,2023-09-08,39,18,1,20
250,2023-09-09,70,23,6,41
251,2023-09-10,7,3,0,4
252,2023-09-11,32,9,6,17
253,2023-09-12,39,18,0,21
254,2023-09-13,54,12,5,37
255,2023-09-14,55,23,3,29
256,2023-09-15,41,14,2,25
257,2023-09-16,68,24,5,39
258,2023-09-17,7,5,0,2
259,2023-09-18,31,8,4,19
260,2023-09-19,38,13,2,23
261,2023-09-20,51,18,8,25
262,2023-09-21,53,17,5,31
263,2023-09-22,40,8,2,30
264,2023-09-23,65,31,1,33
265,2023-09-24,7,1,0,6
266,2023-09-25,30,6,0,24
267,2023-09-26,40,19,4,17
268,2023-09-27,49,21,3,25
269,2023-09-28,56,19,2,35
270,2023-09-29,38,14,3,21
271,2023-09-30,69,28,6,35
272,2023-10-01,7,1,0,6
273,2023-10-02,32,10,2,20
274,2023-10-03,38,13,1,24
275,2023-10-04,52,14,5,33
276,2023-10-05,53,11,4,38
277,2023-10-06,41,15,3,23
278,2023-10-07,66,20,8,38
279,2023-10-08,7,3,0,4
280,2023-10-09,31,11,1,19
281,2023-10-10,41,14,4,23
282,2023-10-11,51,24,2,25
283,2023-10-12,53,13,1,39
284,2023-10-13,40,17,5,18
285,2023-10-14,64,27,3,34
286,2023-10-15,7,2,0,5
287,2023-10-16,30,16,4,10
288,2023-10-17,40,11,1,28
289,2023-10-18,49,14,2,33
290,2023-10-19,55,19,2,34
291,2023-10-20,38,10,3,25
292,2023-10-21,68,19,4,45
293,2023-10-22,7,1,0,6
294,2023-10-23,31,14,1,16
295,2023-10-24,39,12,5,22
296,2023-10-25,53,12,6,35
297,2023-10-26,54,18,3,33
298,2023-10-27,39,15,1,23
299,2023-10-28,66,17,8,41
300,2023-10-29,7,4,0,3
301,2023-10-30,30,11,0,19
302,2023-10-31,41,14,2,25
303,2023-11-01,51,19,7,25
304,2023-11-02,57,19,4,34
305,2023-11-03,40,15,3,22
306,2023-11-04,64,24,3,37
307,2023-11-05,7,4,1,2
308,2023-11-06,30,4,5,21
309,2023-11-07,40,13,1,26
310,2023-11-08,49,17,3,29
311,2023-11-09,56,14,7,35
312,2023-11-10,38,13,1,24
313,2023-11-11,68,23,6,39
314,2023-11-12,7,4,1,2
315,2023-11-13,32,10,4,18
316,2023-11-14,38,10,3,25
317,2023-11-15,52,18,2,32
318,2023-11-16,54,18,5,31
319,2023-11-17,41,12,2,27
320,2023-11-18,66,23,4,39
321,2023-11-19,7,1,0,6
322,2023-11-20,30,5,2,23
323,2023-11-21,41,18,2,21
324,2023-11-22,51,22,2,27
325,2023-11-23,57,19,2,36
326,2023-11-24,39,14,3,22
327,2023-11-25,64,29,4,31
328,2023-11-26,7,3,0,4
329,2023-11-27,30,7,4,19
330,2023-11-28,40,16,3,21
331,2023-11-29,49,13,4,32
332,2023-11-30,56,19,1,36
333,2023-12-01,38,11,1,26
334,2023-12-02,68,24,8,36
335,2023-12-03,7,2,1,4
336,2023-12-04,32,17,1,14
337,2023-12-05,38,9,1,28
338,2023-12-06,52,15,1,36
339,2023-12-07,54,14,8,32
340,2023-12-08,41,13,6,22
341,2023-12-09,66,23,5,38
342,2023-12-10,7,1,0,6
343,2023-12-11,31,13,1,17
344,2023-12-12,41,17,4,20
345,2023-12-13,53,16,7,30
346,2023-12-14,62,22,7,33
347,2023-12-15,44,10,3,31
348,2023-12-16,81,33,5,43
349,2023-12-17,7,2,0,5
350,2023-12-18,37,14,3,20
351,2023-12-19,49,15,3,31
352,2023-12-20,63,20,5,38
353,2023-12-21,74,22,7,45
354,2023-12-22,51,14,5,32
355,2023-12-23,93,23,9,61
356,2023-12-24,9,3,0,6
357,2023-12-25,44,14,3,27
358,2023-12-26,54,18,6,30
359,2023-12-27,73,26,6,41
360,2023-12-28,75,24,7,44
361,2023-12-29,55,19,4,32
362,2023-12-30,91,25,16,50
363,2023-12-31,9,1,0,8
